bus_index,bus_label,true_vm_pu,true_va_deg,pandapower_vm_pu,pandapower_va_deg,pandapower_vm_err_pu,pandapower_va_err_deg,Rust_StateRustimation_vm_pu,Rust_StateRustimation_va_deg,Rust_StateRustimation_vm_err_pu,Rust_StateRustimation_va_err_deg
124,124,1.05000000,9.30669659,1.04914733,9.29166651,8.52666595e-04,1.50300884e-02,1.04928449,9.28971753,7.15509910e-04,1.69790611e-02
125,125,1.05000000,9.37411702,1.05034028,9.37182118,3.40275566e-04,2.29583953e-03,1.05047737,9.36985403,4.77365573e-04,4.26299224e-03
126,126,1.04504170,5.94711294,1.04508120,5.94349542,3.94998916e-05,3.61751694e-03,1.04523500,5.94186983,1.93292943e-04,5.24310584e-03
127,127,1.05000000,10.36176367,1.05002549,10.33662812,2.54938972e-05,2.51355432e-02,1.05017903,10.33395041,1.79026479e-04,2.78132597e-02
128,128,1.05000000,9.12025311,1.05019691,9.11098745,1.96913719e-04,9.26565613e-03,1.05035849,9.10816721,3.58486907e-04,1.20859020e-02
129,129,1.03861408,5.41621548,1.03860371,5.41542772,1.03680980e-05,7.87765474e-04,1.03876059,5.41386157,1.46510783e-04,2.35391574e-03
130,130,1.05000000,8.60002513,1.05002942,8.59078681,2.94183922e-05,9.23832000e-03,1.05018436,8.58807189,1.84356375e-04,1.19532346e-02
131,131,1.05000000,9.39467190,1.04985522,9.38645596,1.44781008e-04,8.21594061e-03,1.05000887,9.38342665,8.87471518e-06,1.12452489e-02
132,132,1.05326874,4.98712739,1.05332105,4.98787653,5.23095321e-05,7.49138716e-04,1.05344949,4.98661839,1.80756960e-04,5.08995532e-04
133,133,1.05000000,8.95250980,1.04992125,8.95476410,7.87470646e-05,2.25430568e-03,1.05008351,8.95192036,8.35141696e-05,5.89438730e-04
134,134,1.05000000,8.88991954,1.05038782,8.88307891,3.87816818e-04,6.84063223e-03,1.05054947,8.88027047,5.49468915e-04,9.64907617e-03
135,135,1.04861645,4.76153163,1.04858930,4.76586593,2.71521583e-05,4.33429730e-03,1.04872691,4.76461009,1.10465404e-04,3.07845792e-03
136,136,1.05000000,13.45312858,1.04932952,13.46907918,6.70483170e-04,1.59506006e-02,1.04958021,13.45708359,4.19793574e-04,3.95500452e-03
137,137,1.05000000,12.63560203,1.05002782,12.67311586,2.78241389e-05,3.75138298e-02,1.05027903,12.66788179,2.79030342e-04,3.22797675e-02
138,138,1.05000000,13.50244846,1.05057133,13.52910182,5.71325766e-04,2.66533547e-02,1.05084282,13.52296213,8.42820536e-04,2.05136685e-02
139,139,1.05000000,11.91168768,1.04964617,11.91506603,3.53830096e-04,3.37834546e-03,1.04986211,11.91079173,1.37892825e-04,8.95955464e-04
140,140,1.04954696,5.68661335,1.04953943,5.68147393,7.53309681e-06,5.13942450e-03,1.04965698,5.68031823,1.10025162e-04,6.29512545e-03
141,141,1.05000000,8.95519561,1.05022702,8.98342946,2.27023342e-04,2.82338462e-02,1.05041412,8.98045674,4.14117527e-04,2.52611227e-02
142,142,1.05000000,8.96393174,1.04977903,8.94793416,2.20974064e-04,1.59975827e-02,1.04996643,8.94497401,3.35739697e-05,1.89577347e-02
143,143,1.04426429,32.55367061,1.04436946,32.55156411,1.05163540e-04,2.10649496e-03,1.04459562,32.54220893,3.31323988e-04,1.14616727e-02
144,144,1.05000000,45.24298844,1.05030640,45.26900766,3.06403214e-04,2.60192267e-02,1.05065850,45.25117661,6.58501286e-04,8.18817682e-03
145,145,1.05000000,45.35173306,1.05110829,45.32845887,1.10828941e-03,2.32741914e-02,1.05145816,45.31062060,1.45816257e-03,4.11124628e-02
146,146,1.05000000,45.35173306,1.04818861,45.38246876,1.81138800e-03,3.07356983e-02,1.04854077,45.36452842,1.45922526e-03,1.27953567e-02
147,147,1.05000000,45.40494777,1.04951035,45.40173134,4.89648928e-04,3.21643466e-03,1.04986371,45.38375593,1.36285352e-04,2.11918419e-02
148,148,1.04421323,32.52831965,1.04432243,32.52661930,1.09202446e-04,1.70034595e-03,1.04454938,32.51726056,3.36151059e-04,1.10590952e-02
149,149,1.05000000,45.24006926,1.04985046,45.25262384,1.49542981e-04,1.25545845e-02,1.05029359,45.23069136,2.93588407e-04,9.37789730e-03
150,150,1.05000000,45.36073926,1.05047632,45.39716513,4.76321538e-04,3.64258709e-02,1.05092387,45.37496971,9.23872909e-04,1.42304496e-02
151,151,1.05000000,45.24006926,1.05108750,45.21894528,1.08749607e-03,2.11239739e-02,1.05143965,45.21157538,1.43965499e-03,2.84938717e-02
152,152,1.05000000,45.30895244,1.04850109,45.43670027,1.49891313e-03,1.27747826e-01,1.04894799,45.41446891,1.05200861e-03,1.05516470e-01
153,153,1.05000000,39.19692549,1.04990864,39.21034980,9.13629334e-05,1.34243094e-02,1.05017504,39.19792049,1.75044434e-04,9.95001518e-04
154,154,1.05000000,39.25821520,1.04972608,39.26871356,2.73924829e-04,1.04983582e-02,1.05002792,39.25515749,2.79239849e-05,3.05770958e-03
155,155,1.01000000,32.54215109,1.00880887,32.50564491,1.19112730e-03,3.65061774e-02,1.00916825,32.50498858,8.31748526e-04,3.71625085e-02
156,156,1.04760249,1.81463010,1.04762852,1.81509574,2.60333276e-05,4.65638461e-04,1.04767152,1.81502518,6.90246963e-05,3.95077859e-04
157,157,0.99000000,1.81268847,0.98988916,1.78161112,1.10841074e-04,3.10773467e-02,0.99010444,1.78114997,1.04441252e-04,3.15384970e-02
158,158,1.05000000,8.68780001,1.04933220,8.68003914,6.67803946e-04,7.76086382e-03,1.04953995,8.67575333,4.60045403e-04,1.20466754e-02
159,159,1.05083727,2.36953544,1.05080510,2.37287993,3.21701085e-05,3.34448486e-03,1.05085275,2.37264246,1.54764583e-05,3.10702207e-03
160,160,1.05000000,9.29226191,1.05011872,9.35403852,1.18720516e-04,6.17766171e-02,1.05026396,9.35103041,2.63957770e-04,5.87685053e-02
161,161,1.05000000,9.20800427,1.04995122,9.18278888,4.87825427e-05,2.52153865e-02,1.05010993,9.17953065,1.09933668e-04,2.84736215e-02
162,162,1.05015384,17.66926648,1.05027327,17.66628797,1.19433817e-04,2.97851016e-03,1.05041848,17.66165749,2.64642918e-04,7.60899065e-03
163,163,1.05000000,21.81879020,1.04967730,21.79366033,3.22702055e-04,2.51298724e-02,1.04988383,21.78670532,1.16166378e-04,3.20848825e-02
164,164,1.05000000,21.84644930,1.05022855,21.86869809,2.28550578e-04,2.22487951e-02,1.05043583,21.86169559,4.35828529e-04,1.52462924e-02
165,165,1.05000000,21.87289536,1.05028753,21.85460876,2.87532656e-04,1.82865973e-02,1.05049433,21.84761588,4.94325355e-04,2.52794770e-02
166,166,1.05000000,21.85101680,1.05018102,21.80744761,1.81016139e-04,4.35691905e-02,1.05038780,21.80047995,3.87799383e-04,5.05368551e-02
167,167,1.04285538,23.49200054,1.04288596,23.49226183,3.05772646e-05,2.61290626e-04,1.04300353,23.48648994,1.48152475e-04,5.51060703e-03
168,168,1.05000000,30.82109157,1.05030836,30.79700374,3.08360054e-04,2.40878297e-02,1.05057240,30.78729006,5.72399124e-04,3.38015071e-02
169,169,1.05000000,30.99999252,1.05036287,30.97724619,3.62874414e-04,2.27463309e-02,1.05063096,30.96735665,6.30960638e-04,3.26358649e-02
170,170,1.05000000,30.75712840,1.05000377,30.74428896,3.76780928e-06,1.28394415e-02,1.05026352,30.73271358,2.63524013e-04,2.44148255e-02
171,171,1.05000000,30.58742699,1.05051457,30.56344071,5.14571121e-04,2.39862756e-02,1.05077051,30.55403538,7.70513659e-04,3.33916140e-02
172,172,1.05068443,16.95553463,1.05072639,16.96001513,4.19557522e-05,4.48049868e-03,1.05086484,16.95548348,1.80408653e-04,5.11468351e-05
173,173,1.05000000,22.87670727,1.04971823,22.87621959,2.81769342e-04,4.87684550e-04,1.04987402,22.86981186,1.25984893e-04,6.89540756e-03
